Thornglint Bridge,"['self enter W battlefield tap .', 'indestruct', '{ W } : add { g } W { w } .']"
Rith's Charm,"['choos one —', '• destroy target non-bas land .', '• creat three 1/1 green saprol creatur token .', '• prevent W damag W sourc W W choic would deal W turn .']"
Wall of Bone,"['defend', '{ b } : regener self .']"
Sunspire Gatekeepers,"['W self enter W battlefield , W W control two W W gate , creat W 2/2 white knight creatur token W vigil .']"
Curse of Leeches // Leeching Lurker,[]
Rhystic Deluge,['{ u } : tap target creatur unless W control pay { 1 } .']
Patron of the Vein,"['fli', 'W self enter W battlefield , destroy target creatur W oppon control .', 'whenev W creatur W oppon control die , exil W W put W +1/+1 counter W W vampir W control .']"
Swiftblade Vindicator,"['doubl strike , vigil , trampl']"
Chimney Imp,"['fli', 'W self die , target oppon put W card W W hand W top W W librari .']"
Necromantic Thirst,"['enchant creatur', 'whenev enchant creatur deal combat damag W W player , W may return target creatur card W W graveyard W W hand .']"
Sword of Feast and Famine,"['equip creatur get +2/+2 W W protect W black W W green .', 'whenev equip creatur deal combat damag W W player , W player discard W card W W untap W land W control .', 'equip { 2 }']"
Jackal Familiar,"[""self ca n't attack W block alon .""]"
Owlbear Shepherd,"['W W begin W W end step , W creatur W control W total power 8 W greater , draw W card .']"
"Zalto, Fire Giant Duke","['trampl', 'whenev self W dealt damag , ventur W W dungeon .']"
Slagwurm Armor,"['equip creatur get +0/+6 .', 'equip { 3 }']"
Ad Nauseam,['reveal W top card W W librari W put W card W W hand . W lose life equal W W mana valu . W may repeat W process W number W time .']
Stromgald Cabal,"['{ W } , pay 1 life : counter target white spell .']"
Ghitu Encampment,"['self enter W battlefield tap .', '{ W } : add { r } .', ""{ 1 } { r } : self becom W 2/1 red warrior creatur W first strike W end W turn . W 's still W land .""]"
Ancient Den,['{ W } : add { w } .']
"Sek'Kuar, Deathkeeper","['whenev anoth non-token creatur W control die , creat W 3/1 black W red graveborn creatur token W hast .']"
Pit Scorpion,"['whenev self deal damag W W player , W player get W poison counter .']"
Ceremonial Groundbreaker,"['equip creatur get +2/+1 W W trampl .', 'equip citizen { 1 }', 'equip { 3 }']"
Conservator,"['{ 3 } , { W } : prevent W next 2 damag W would W dealt W W W turn .']"
Fumiko the Lowblood,"['self W bushido x , W x W W number W attack creatur .', 'creatur W oppon control attack W combat W abl .']"
Ancient Brontodon,[]
Djinn of Wishes,"['fli', 'self enter W battlefield W three wish counter W W .', ""{ 2 } { u } { u } , remov W wish counter W self : reveal W top card W W librari . W may play W card without pay W mana cost . W W W n't , exil W .""]"
Vertigo,['self deal 2 damag W target creatur W fli . W creatur lose fli W end W turn .']
Runes of the Deus,"['enchant creatur', 'W long W enchant creatur W red , W get +1/+1 W W doubl strike .', 'W long W enchant creatur W green , W get +1/+1 W W trampl .']"
Yamabushi's Storm,"['self deal 1 damag W W creatur . W W creatur dealt damag W way would die W turn , exil W instead .']"
Jwar Isle Avenger,"['surg { 2 } { u }', 'fli']"
Fire Servant,"['W W red instant W sorceri spell W control would deal damag , W deal doubl W damag instead .']"
Cabal Therapy,"['choos W non-land card name . target player reveal W hand W discard W card W W name .', 'flashback—sacrific W creatur .']"
Bone Shaman,"[""{ b } : W end W turn , self gain `` creatur dealt damag W self W turn ca n't W regener W turn . ''""]"
Idyllic Tutor,"['search W librari W W enchant card , reveal W , put W W W hand , W shuffl .']"
Bombard,['self deal 4 damag W target creatur .']
Spike Colony,"['self enter W battlefield W four +1/+1 counter W W .', '{ 2 } , remov W +1/+1 counter W self : put W +1/+1 counter W target creatur .']"
Diabolic Servitude,"['W self enter W battlefield , return target creatur card W W graveyard W W battlefield .', ""W W creatur put onto W battlefield W self die , exil W W return self W W owner 's hand ."", 'W self leav W battlefield , exil W creatur put onto W battlefield W self .']"
Subterranean Tremors,"['self deal x damag W W creatur without fli . W x W 4 W W , destroy W artifact . W x W 8 W W , creat W 8/8 red lizard creatur token .']"
Gatekeeper of Malakir,"['kicker { b }', 'W self enter W battlefield , W W W kick , target player sacrific W creatur .']"
Brood Keeper,"[""whenev W aura becom attach W self , creat W 2/2 red dragon creatur token W fli . W W `` { r } : W creatur get +1/+0 W end W turn . ''""]"
Time Wipe,"[""return W creatur W control W W owner 's hand , W destroy W creatur .""]"
Unsummon,"[""return target creatur W W owner 's hand .""]"
Meekstone,"[""creatur W power 3 W greater W n't untap W W control ' untap step .""]"
Serene Sunset,['prevent W combat damag x target creatur would deal W turn .']
Candlelight Vigil,"['enchant creatur', 'enchant creatur get +3/+2 W W vigil .']"
Selfless Squire,"['flash', 'W self enter W battlefield , prevent W damag W would W dealt W W W turn .', 'whenev damag W would W dealt W W W prevent , put W mani +1/+1 counter W self .']"
Claws of Wirewood,"['self deal 3 damag W W creatur W fli W W player .', 'cycl { 2 }']"
Dauthi Ghoul,"['shadow', 'whenev W creatur W shadow die , put W +1/+1 counter W self .']"
Gleancrawler,"['', 'trampl', 'W W begin W W end step , return W W hand W creatur card W W graveyard W W put W W W battlefield W turn .']"
Prodigal Sorcerer,['{ W } : self deal 1 damag W W target .']
"Judith, the Scourge Diva","['W creatur W control get +1/+0 .', 'whenev W non-token creatur W control die , self deal 1 damag W W target .']"
Man-o'-War,"[""W self enter W battlefield , return target creatur W W owner 's hand .""]"
Chord of Calling,"['convok', 'search W librari W W creatur card W mana valu x W less , put W onto W battlefield , W shuffl .']"
"Nicol Bolas, the Ravager // Nicol Bolas, the Arisen",[]
Piper of the Swarm,"['rat W control W menac .', '{ 1 } { b } , { W } : creat W 1/1 black rat creatur token .', '{ 2 } { b } { b } , { W } , sacrific three rat : gain control W target creatur .']"
Furnace Brood,"[""{ r } : target creatur ca n't W regener W turn .""]"
Trusty Companion,"['vigil', ""self ca n't attack alon .""]"
Fork in the Road,['search W librari W W W two basic land card W reveal W . put one W W hand W W W W W graveyard . W shuffl .']
Sentinel of the Eternal Watch,"['vigil', ""W W begin W combat W W oppon 's turn , tap target creatur W player control .""]"
Maze Behemoth,"['trampl', 'multicolor creatur W control W trampl .']"
Spectral Searchlight,['{ W } : choos W player . W player add one mana W W color W choos .']
Noble Banneret,"['draft self face W .', 'W W draft W creatur card , W may reveal W , note W name , W turn self face W .', 'W long W W control one W W creatur W W name W note W card name name_noble_banneret , self W W creatur get +1/+1 W W lifelink .']"
Lord of the Undead,"['W zombi creatur get +1/+1 .', '{ 1 } { b } , { W } : return target zombi card W W graveyard W W hand .']"
Whiplash Trap,"[""W W oppon W two W W creatur enter W battlefield W W control W turn , W may pay { u } rather W pay W spell 's mana cost ."", ""return two target creatur W W owner ' hand .""]"
Lionheart Maverick,"['vigil', '{ 4 } { w } : self get +1/+2 W end W turn .']"
Silverchase Fox,"['{ 1 } { w } , sacrific self : exil target enchant .']"
Guile,"[""self ca n't W block except W three W W creatur ."", 'W W spell W abil W control would counter W spell , instead exil W spell W W may play W card without pay W mana cost .', ""W self W put W W graveyard W anywher , shuffl W W W owner 's librari .""]"
Daze,"[""W may return W island W control W W owner 's hand rather W pay W spell 's mana cost ."", 'counter target spell unless W control pay { 1 } .']"
Golgari Charm,"['choos one —', '• W creatur get -1/-1 W end W turn .', '• destroy target enchant .', '• regener W creatur W control .']"
Curse of Conformity,"['enchant player', 'non-legendari creatur enchant player control W base power W tough 3/3 W lose W creatur type .']"
Illusory Angel,"[""cast W spell W W W 've cast anoth spell W turn ."", 'fli']"
Glasspool Mimic // Glasspool Shore,[]
Kithkin Mourncaller,"['whenev W attack kithkin W elf W put W W graveyard W W battlefield , W may draw W card .']"
Castle Vantress,"['self enter W battlefield tap unless W control W island .', '{ W } : add { u } .', '{ 2 } { u } { u } , { W } : scri 2 .']"
Ana Sanctuary,"['W W begin W W upkeep , W W control W blue W black perman , target creatur get +1/+1 W end W turn . W W control W blue perman W W black perman , W creatur get +5/+5 W end W turn instead .']"
"Rick, Steadfast Leader","['W self enter W battlefield , choos two abil W among first strike , vigil , W lifelink .', 'human W control W W W W chosen abil .', 'W long W W control four W W human , human W control get +2/+2 .']"
Blur of Blades,"[""put W -1/-1 counter W target creatur . self deal 2 damag W W creatur 's control .""]"
Draugr Necromancer,"['W W non-token creatur W oppon control would die , exil W card W W ice counter W W instead .', 'W may cast spell W among card W exil W oppon W W ice counter W W , W W may spend mana W snow sourc W though W W mana W W color W cast W spell .']"
Scavenging Ooze,"['{ g } : exil target card W W graveyard . W W W W creatur card , put W +1/+1 counter W self W W gain 1 life .']"
Thought Collapse,['counter target spell . W control mill three card .']
Blighted Woodland,"['{ W } : add { c } .', '{ 3 } { g } , { W } , sacrific self : search W librari W W W two basic land card , put W onto W battlefield tap , W shuffl .']"
Dovin's Automaton,"['W long W W control W dovin planeswalk , self get +2/+2 W W vigil .']"
Gigapede,"['shroud', 'W W begin W W upkeep , W self W W W graveyard , W may discard W card . W W W , return self W W hand .']"
Ragnar,"['{ g } { w } { u } , { W } : regener target creatur .']"
Explosive Singularity,"['W W addit cost W cast W spell , W may tap W number W untap creatur W control . W spell cost { 1 } less W cast W W creatur tap W way .', 'self deal 10 damag W W target .']"
Seal of Primordium,['sacrific self : destroy target artifact W enchant .']
Thundersong Trumpeter,"[""{ W } : target creatur ca n't attack W block W turn .""]"
Elvish Fury,"['buyback { 4 }', 'target creatur get +2/+2 W end W turn .']"
Siegehorn Ceratops,"['enrag — whenev self W dealt damag , put two +1/+1 counter W W .']"
Reparations,"['whenev W oppon cast W spell W target W W W creatur W control , W may draw W card .']"
Mask of Avacyn,"['equip creatur get +1/+2 W W hexproof .', 'equip { 3 }']"
Cunning Giant,"['W self W unblock , W may W W assign W combat damag W W creatur defend player control .']"
Manglehorn,"['W self enter W battlefield , W may destroy target artifact .', 'artifact W oppon control enter W battlefield tap .']"
Plague Reaver,"['W W begin W W end step , sacrific W W creatur W control .', ""discard two card , sacrific self : choos target oppon . return self W W battlefield W W player 's control W W begin W W next upkeep .""]"
Carnivorous Moss-Beast,['{ 5 } { g } { g } : put W +1/+1 counter W self .']
Shiny Impetus,"['enchant creatur', 'enchant creatur get +2/+2 W W goad .', 'whenev enchant creatur attack , W creat W treasur token .']"
Magical Hack,['chang W text W target spell W perman W replac W instanc W one basic land type W anoth .']
Loyal Apprentice,"['hast', 'lieuten — W W begin W combat W W turn , W W control W command , creat W 1/1 colorless thopter artifact creatur token W fli . W token gain hast W end W turn .']"
Awesome Presence,"['enchant creatur', ""enchant creatur ca n't W block unless defend player pay { 3 } W W creatur W control W 's block W .""]"
Beast Whisperer,"['whenev W cast W creatur spell , draw W card .']"
Force of Rage,"[""W W 's W W turn , W may exil W red card W W hand rather W pay W spell 's mana cost ."", 'creat two 3/1 red element creatur token W trampl W hast . sacrific W token W W begin W W next upkeep .']"
Airborne Aid,['draw W card W W bird W W battlefield .']
Brokers Charm,"['choos one —', '• target creatur W control get +1/+0 W end W turn . W deal damag equal W W power W target creatur W planeswalk W oppon control .', '• destroy target enchant .', '• draw two card .']"
Young Red Dragon // Bathe in Gold,[]
Tsunami,['destroy W island .']
Tethered Skirge,"['fli', 'whenev self becom W target W W spell W abil , W lose 1 life .']"
Curiosity,"['enchant creatur', 'whenev enchant creatur deal damag W W oppon , W may draw W card .']"
Exalted Angel,"['fli', 'whenev self deal damag , W gain W much life .', 'morph { 2 } { w } { w }']"
Crawling Infestation,"['W W begin W W upkeep , W may mill two card .', 'whenev one W W creatur card W put W W graveyard W anywher W W turn , creat W 1/1 green insect creatur token . W abil trigger W W W turn .']"
Waterlogged Grove,"['{ W } , pay 1 life : add { g } W { u } .', '{ 1 } , { W } , sacrific self : draw W card .']"
Mystic Monastery,"['self enter W battlefield tap .', '{ W } : add { u } , { r } , W { w } .']"
Go-Shintai of Shared Purpose,"['vigil', 'W W begin W W end step , W may pay { 1 } . W W W , creat W 1/1 colorless spirit creatur token W W shrine W control .']"
Relic Amulet,"['whenev W cast W instant , sorceri , W wizard spell , put W charg counter W self .', '{ 2 } , { W } , remov W charg counter W self : W deal W much damag W target creatur .']"
Ogre Siegebreaker,['{ 2 } { b } { r } : destroy target creatur W W dealt damag W turn .']
Yuan-Ti Malison,"[""self ca n't W block W long W W 's attack alon ."", 'whenev self deal combat damag W W player , ventur W W dungeon .']"
Sacred Boon,"['prevent W next 3 damag W would W dealt W target creatur W turn . W W begin W W next end step , put W +0/+1 counter W W creatur W W 1 damag prevent W way .']"
Meteor Golem,"['W self enter W battlefield , destroy target non-land perman W oppon control .']"
Chill of Foreboding,"['W player mill five card .', 'flashback { 7 } { u }']"
Primal Adversary,"['trampl', 'W self enter W battlefield , W may pay { 1 } { g } W number W time . W W pay W cost one W W time , put W mani +1/+1 counter W self , W W W W mani target land W control becom 3/3 wolf creatur W hast W W still land .']"
Sulfurous Blast,"['self deal 2 damag W W creatur W W player . W W cast W spell W W main phase , self deal 3 damag W W creatur W W player instead .']"
Frozen Shade,['{ b } : self get +1/+1 W end W turn .']
Clear the Stage,"['target creatur get -3/-3 W end W turn . W W control W creatur W power 4 W greater , W may return W W one target creatur card W W graveyard W W hand .']"
Coat with Venom,['target creatur get +1/+2 W gain deathtouch W end W turn .']
All-Seeing Arbiter,"['fli', 'whenev self enter W battlefield W attack , draw two card , W discard W card .', 'whenev W discard W card , target creatur W oppon control get -x/-0 W W next turn , W x W W number W differ mana valu among card W W graveyard .']"
Temple of Plenty,"['self enter W battlefield tap .', 'W self enter W battlefield , scri 1 .', '{ W } : add { g } W { w } .']"
Servo Schematic,"['W self enter W battlefield W W put W W graveyard W W battlefield , creat W 1/1 colorless servo artifact creatur token .']"
Elder Deep-Fiend,"['flash', 'emerg { 5 } { u } { u }', 'W W cast W spell , tap W W four target perman .']"
"Azami, Lady of Scrolls",['tap W untap wizard W control : draw W card .']
Sunbird's Invocation,"[""whenev W cast W spell W W hand , reveal W top x card W W librari , W x W W spell 's mana valu . W may cast W spell W mana valu x W less W among card reveal W way without pay W mana cost . put W rest W W bottom W W librari W W random order .""]"
Alseid of Life's Bounty,"['lifelink', '{ 1 } , sacrific self : target creatur W enchant W control gain protect W W color W W choic W end W turn .']"
Dread Fugue,"['cleav { 2 } { b }', 'target player reveal W hand . W choos W non-land card W W [ W mana valu 2 W less ] . W player discard W card .']"
Overrun,['creatur W control get +3/+3 W gain trampl W end W turn .']
Goblin Bushwhacker,"['kicker { r }', 'W self enter W battlefield , W W W kick , creatur W control get +1/+0 W gain hast W end W turn .']"
Pygmy Razorback,['trampl']
Fatal Push,"['destroy target creatur W W W mana valu 2 W less .', 'revolt — destroy W creatur W W W mana valu 4 W less instead W W perman W control left W battlefield W turn .']"
Boxing Ring,"[""whenev W creatur enter W battlefield W W control , W fight W W one target creatur W W n't control W W W mana valu ."", '{ W } : creat W treasur token . activ W W W control W creatur W fought W turn .']"
Lifespark Spellbomb,"[""{ g } , sacrific self : W end W turn , target land becom W 3/3 creatur W 's still W land ."", '{ 1 } , sacrific self : draw W card .']"
Mukotai Ambusher,"['ninjutsu { 1 } { b }', 'lifelink']"
Loreseeker's Stone,"['{ 3 } , { W } : draw three card . W abil cost { 1 } W W activ W W card W W hand .']"
Mire's Grasp,"['enchant creatur', 'enchant creatur get -3/-3 .']"
Magnetic Mountain,"[""blue creatur W n't untap W W control ' untap step ."", ""W W begin W W player 's upkeep , W player may choos W number W tap blue creatur W control W pay { 4 } W W creatur chosen W way . W W player W , untap W creatur .""]"
Fan Bearer,"['{ 2 } , { W } : tap target creatur .']"
Disperse,"[""return target non-land perman W W owner 's hand .""]"
Prohibit,"['kicker { 2 }', 'counter target spell W W mana valu W 2 W less . W W spell W kick , counter W spell W W mana valu W 4 W less instead .']"
Sewer Shambler,"['swampwalk', 'scaveng { 2 } { b }']"
Canopy Spider,['reach']
Gorilla Shaman,['{ x } { x } { 1 } : destroy target non-creatur artifact W mana valu x .']
Goblin Electromancer,['instant W sorceri spell W cast cost { 1 } less W cast .']
Stern Dismissal,"[""return target creatur W enchant W oppon control W W owner 's hand .""]"
Sulfur Elemental,"['flash', 'split second', 'white creatur get +1/-1 .']"
Gate Colossus,"['W spell cost { 1 } less W cast W W gate W control .', ""self ca n't W block W creatur W power 2 W less ."", 'whenev W gate enter W battlefield W W control , W may put self W W graveyard W top W W librari .']"
Circle of Protection: Red,"['{ 1 } : W next time W red sourc W W choic would deal damag W W W turn , prevent W damag .']"
Snapping Sailback,"['flash', 'enrag — whenev self W dealt damag , put W +1/+1 counter W W .']"
Volunteer Militia,[]
Sedge Sliver,"[""W sliver creatur W `` W creatur get +1/+1 W long W W control W swamp . ''"", ""W sliver W `` { b } : regener W perman . ''""]"
Splintering Wind,"[""{ 2 } { g } : self deal 1 damag W target creatur . creat W 1/1 green splinter creatur token . W W fli W `` cumul upkeep { g } . '' W W leav W battlefield , W deal 1 damag W W W W creatur W control .""]"
Orcish Cannonade,"['self deal 2 damag W W target W 3 damag W W .', 'draw W card .']"
Onslaught,"['whenev W cast W creatur spell , tap target creatur .']"
Barren Moor,"['self enter W battlefield tap .', '{ W } : add { b } .', 'cycl { b }']"
Defiant Salvager,['sacrific W artifact W creatur : put W +1/+1 counter W self . activ W W W sorceri .']
Weight of Memory,['draw three card . target player mill three card .']
Brainwash,"['enchant creatur', ""enchant creatur ca n't attack unless W control pay { 3 } .""]"
Krosan Avenger,"['trampl', 'threshold — { 1 } { g } : regener self . activ W W seven W W card W W W graveyard .']"
Torture,"['enchant creatur', '{ 1 } { b } : put W -1/-1 counter W enchant creatur .']"
Surtland Frostpyre,"['self enter W battlefield tap .', '{ W } : add { r } .', '{ 2 } { u } { u } { r } , { W } , sacrific self : scri 2 . self deal 2 damag W W creatur . activ W W W sorceri .']"
Roiling Vortex,"[""W W begin W W player 's upkeep , self deal 1 damag W W ."", 'whenev W player cast W spell , W W mana W spent W cast W spell , self deal 5 damag W W player .', ""{ r } : W oppon ca n't gain life W turn .""]"
Basalt Monolith,"[""self W n't untap W W untap step ."", '{ W } : add { c } { c } { c } .', '{ 3 } : untap self .']"
Traumatic Visions,"['counter target spell .', 'basic landcycl { 1 } { u }']"
Tarox Bladewing,"['fli , hast', 'grandeur — discard anoth card name name_tarox_bladew : self get +x/+x W end W turn , W x W W power .']"
Liability,"[""whenev W non-token perman W put W W player 's graveyard W W battlefield , W player lose 1 life .""]"
Rot Wolf,"['infect', 'whenev W creatur dealt damag W self W turn die , W may draw W card .']"
Scheming Fence,"['W self enter W battlefield , W may choos W non-land perman .', ""activ abil W W chosen perman ca n't W activ ."", 'self W W activ abil W W chosen perman except W loyalti abil . W may spend mana W though W W mana W W color W activ W abil .']"
Serpent Generator,"[""{ 4 } , { W } : creat W 1/1 colorless snake artifact creatur token . W W `` whenev W creatur deal damag W W player , W player get W poison counter . ''""]"
Risky Move,"[""W W begin W W player 's upkeep , W player gain control W self ."", 'W W gain control W self W anoth player , choos W creatur W control W W oppon . flip W coin . W W lose W flip , W oppon gain control W W creatur .']"
Baneslayer Angel,"['fli , first strike , lifelink , protect W demon W W dragon']"
Ring of Gix,"['echo { 3 }', '{ 1 } , { W } : tap target artifact , creatur , W land .']"
Archpriest of Iona,"[""self 's power W equal W W number W creatur W W parti ."", 'W W begin W combat W W turn , W W W W full parti , target creatur get +1/+1 W gain fli W end W turn .']"
Marsh Threader,['swampwalk']
Phantom Ninja,"[""self ca n't W block .""]"
"Squee, the Immortal",['W may cast self W W graveyard W W exil .']
Cursed Minotaur,['menac']
Auspicious Starrix,"['mutat { 5 } { g }', 'whenev W creatur mutat , exil card W W top W W librari W W exil x perman card , W x W W number W time W creatur W mutat . put W perman card onto W battlefield .']"
Barreling Attack,"['target creatur gain trampl W end W turn . W W creatur becom block W turn , W get +1/+1 W end W turn W W creatur block W .']"
Krenko's Enforcer,['intimid']
Fiery Islet,"['{ W } , pay 1 life : add { u } W { r } .', '{ 1 } , { W } , sacrific self : draw W card .']"
"Kumena, Tyrant of Orazca","[""tap anoth untap merfolk W control : self ca n't W block W turn ."", 'tap three untap merfolk W control : draw W card .', 'tap five untap merfolk W control : put W +1/+1 counter W W merfolk W control .']"
Canal Courier,"['W self enter W battlefield , W becom W monarch .', ""whenev self W anoth creatur attack differ player , self ca n't W block W combat .""]"
Mirage Phalanx,"['soulbond', ""W long W self W pair W anoth creatur , W W W creatur W `` W W begin W combat W W turn , creat W token W 's W copi W W creatur , except W W hast W lose soulbond . exil W W end W combat . ''""]"
Alaborn Trooper,[]
Bone Saw,"['equip creatur get +1/+0 .', 'equip { 1 }']"
Tendo Ice Bridge,"['self enter W battlefield W W charg counter W W .', '{ W } : add { c } .', '{ W } , remov W charg counter W self : add one mana W W color .']"
Tanglesap,['prevent W combat damag W would W dealt W turn W creatur without trampl .']
Goblin Berserker,"['first strike , hast']"
Excruciator,"[""damag W would W dealt W self ca n't W prevent .""]"
Evaporate,['self deal 1 damag W W white and/or blue creatur .']
Stolen Vitality,"[""target creatur get +3/+1 W end W turn . W W 's W turn , W creatur gain trampl W end W turn . otherwis , W gain first strike W end W turn .""]"
Heroes' Podium,"['W legendari creatur W control get +1/+1 W W W legendari creatur W control .', '{ x } , { W } : look W W top x card W W librari . W may reveal W legendari creatur card W among W W put W W W hand . put W rest W W bottom W W librari W W random order .']"
Spire Mangler,"['flash', 'fli', 'W self enter W battlefield , target creatur W fli W control get +2/+0 W end W turn .']"
Marut,"['trampl', 'W self enter W battlefield , W mana W W treasur W spent W cast W , creat W treasur token W W mana W W treasur spent W cast W .']"
Keepers of the Faith,[]
Reverberation,"[""W damag W would W dealt W turn W target sorceri spell W dealt W W spell 's control instead .""]"
Law-Rune Enforcer,"['{ 1 } , { W } : tap target creatur W mana valu 2 W greater .']"
Liliana's Elite,['self get +1/+1 W W creatur card W W graveyard .']
Zada's Commando,"['first strike', 'cohort — { W } , tap W untap alli W control : self deal 1 damag W target oppon W planeswalk .']"
Study Hall,"['{ W } : add { c } .', ""{ 1 } , { W } : add one mana W W color . W W spend W mana W cast W command , scri x , W x W W number W time W 's W cast W W command zone W game .""]"
Skeletal Kathari,"['fli', '{ b } , sacrific W creatur : regener self .']"
Shaman of Forgotten Ways,"['{ W } : add two mana W W combin W color . spend W mana W W cast creatur spell .', ""formid — { 9 } { g } { g } , { W } : W player 's life total becom W number W creatur W control . activ W W creatur W control W total power 8 W greater .""]"
Rob the Archives,"['casualti 1', 'exil W top two card W W librari . W may play W card W turn .']"
Glittering Lynx,"['prevent W damag W would W dealt W self .', ""{ 2 } : W end W turn , self lose `` prevent W damag W would W dealt W self . '' W player may activ W abil .""]"
Journey of Discovery,"['choos one —', '• search W librari W W W two basic land card , reveal W , put W W W hand , W shuffl .', '• W may play W W two addit land W turn .', 'entwin { 2 } { g }']"
Silverquill Pledgemage,"['magecraft — whenev W cast W copi W instant W sorceri spell , self gain W choic W fli W lifelink W end W turn .']"
Canopy Stalker,"['self must W block W abl .', 'W self die , W gain 1 life W W creatur W die W turn .']"
Fungal Infection,['target creatur get -1/-1 W end W turn . creat W 1/1 green saprol creatur token .']
Dauntless Bodyguard,"['W self enter W battlefield , choos anoth creatur W control .', 'sacrific self : W chosen creatur gain indestruct W end W turn .']"
Icy Blast,"['tap x target creatur .', ""feroci — W W control W creatur W power 4 W greater , W creatur W n't untap W W control ' next untap step .""]"
Thorough Investigation,"['whenev W attack , investig .', 'whenev W sacrific W clue , ventur W W dungeon .']"
Dread of Night,['white creatur get -1/-1 .']
Forfend,['prevent W damag W would W dealt W creatur W turn .']
Serra Advocate,"['fli', '{ W } : target attack W block creatur get +2/+2 W end W turn .']"
Hackrobat,"['spectacl { b } { r }', '{ b } : self gain deathtouch W end W turn .', '{ r } : self get +2/-2 W end W turn .']"
Rofellos's Gift,['reveal W number W green card W W hand . return W enchant card W W graveyard W W hand W W card reveal W way .']
Ghoultree,['W spell cost { 1 } less W cast W W creatur card W W graveyard .']
Draconian Cylix,"['{ 2 } , { W } , discard W card W random : regener target creatur .']"
Skyshroud Falcon,"['fli , vigil']"
Guardian of Pilgrims,"['W self enter W battlefield , target creatur get +1/+1 W end W turn .']"
Dogged Detective,"['W self enter W battlefield , surveil 2 .', 'whenev W oppon draw W second card W turn , W may return self W W graveyard W W hand .']"
Sunhome Stalwart,"['first strike', 'mentor']"
Crevasse,"[""creatur W mountainwalk W W block W though W W n't W mountainwalk .""]"
Moss Kami,['trampl']
Yoked Plowbeast,['cycl { 2 }']
Paperfin Rascal,"['W self enter W battlefield , clash W W oppon . W W win , put W +1/+1 counter W self .']"
Impulsive Maneuvers,"['whenev W creatur attack , flip W coin . W W win W flip , W next time W creatur would deal combat damag W turn , W deal doubl W damag instead . W W lose W flip , W next time W creatur would deal combat damag W turn , prevent W damag .']"
Misshapen Fiend,['fli']
Viashino Slaughtermaster,"['doubl strike', '{ b } { g } : self get +1/+1 W end W turn . activ W W W turn .']"
"Nagao, Bound by Honor","['bushido 1', 'whenev self attack , samurai creatur W control get +1/+1 W end W turn .']"
Information Dealer,"['{ W } : look W W top x card W W librari , W x W W number W wizard W W battlefield , W put W back W W order .']"
Song of Freyalise,"['', ""W , ii — W W next turn , creatur W control gain `` { W } : add one mana W W color . ''"", 'iii — put W +1/+1 counter W W creatur W control . W creatur gain vigil , trampl , W indestruct W end W turn .']"
Arcbound Bruiser,['modular 3']
Ruham Djinn,"['first strike', 'self get -2/-2 W long W white W W W common color among W perman W W tie W W common .']"
Primordial Ooze,"['self attack W combat W abl .', ""W W begin W W upkeep , put W +1/+1 counter W self . W W may pay { x } , W x W W number W +1/+1 counter W W . W W W n't , tap self W W deal x damag W W .""]"
Veteran Cathar,['{ 3 } { w } : target human gain doubl strike W end W turn .']
Azure Mage,['{ 3 } { u } : draw W card .']
Shuko,"['equip creatur get +1/+0 .', 'equip { 0 }']"
Nema Siltlurker,[]
Steelshaper Apprentice,"[""{ w } , { W } , return self W W owner 's hand : search W librari W W equip card , reveal W card , put W W W hand , W shuffl .""]"
World at War,"[""W W first postcombat main phase W turn , W 's W addit combat phase follow W W addit main phase . W W begin W W combat , untap W creatur W attack W turn ."", 'rebound']"
Wild Leotau,"['W W begin W W upkeep , sacrific self unless W pay { g } .']"
Winnower Patrol,"['kinship — W W begin W W upkeep , W may look W W top card W W librari . W W share W creatur type W self , W may reveal W . W W W , put W +1/+1 counter W self .']"
Path of Discovery,"['whenev W creatur enter W battlefield W W control , W explor .']"
Nissa's Encouragement,"['search W librari W graveyard W W card name name_forest , W card name name_brambleweft_behemoth , W W card name name_nissa__genesis_mag . reveal W card , put W W W hand , W shuffl .']"
Field Research,"['kicker { 2 } { u }', 'draw two card . W W spell W kick , draw three card instead .']"
Spellweaver Helix,"['imprint — W self enter W battlefield , W may exil two target sorceri card W W singl graveyard .', 'whenev W player cast W card , W W W W W name W one W W card exil W self , W may copi W W . W W W , W may cast W copi without pay W mana cost .']"
Floodgate,"['defend', 'W self W fli , sacrific W .', 'W self leav W battlefield , W deal damag equal W half W number W island W control , round W , W W non-blu creatur without fli .']"
Howling Fury,['target creatur get +4/+0 W end W turn .']
Border Patrol,['vigil']
Stone Calendar,['spell W cast cost W W { 1 } less W cast .']
Sanguine Sacrament,"[""W gain twice x life . put self W W bottom W W owner 's librari .""]"
Shoal Serpent,"['defend', 'landfal — whenev W land enter W battlefield W W control , self lose defend W end W turn .']"
Freyalise's Winds,"['whenev W perman becom tap , put W wind counter W W .', ""W W perman W W wind counter W W would untap W W control 's untap step , remov W wind counter W W instead .""]"
Crusading Knight,"['protect W black', 'self get +1/+1 W W swamp W oppon control .']"
Serpent of Yawning Depths,"[""kraken , leviathan , octopus , W serpent W control ca n't W block except W kraken , leviathan , octopus , W serpent .""]"
Sigil of Distinction,"['self enter W battlefield W x charg counter W W .', 'equip creatur get +1/+1 W W charg counter W self .', 'equip—remov W charg counter W self .']"
